num_episodes,total_time,mean_int_reward,ep_rew_mean,Progress,total timesteps,value_loss,entropy_loss,icm_loss,policy_gradient_loss,total_loss
1314,3.0427322387695312,0.7695980836,6.24,0.0%,8192,,,,,
2402,17.470033645629883,0.0742159764,7.62,0.82%,16384,3.181078473851085,-1.3930459344759583,0.8584501588484272,-0.024682296040894537,1.1740897766294462
3331,31.13430953025818,0.0605968902,8.4,1.64%,24576,1.0939087989507243,-1.311292457487434,0.7599892974132672,-0.032242108026201324,0.8661559665057194
4018,45.006242752075195,0.0616640173,10.92,2.46%,32768,0.9381683469982818,-1.2180300530977548,0.646385138691403,-0.027340862065009287,0.7374678871847302
4418,58.916189432144165,0.057133419,21.66,3.28%,40960,1.1101432383526117,-1.1279909961856902,0.5275830898899585,-0.024206835691052152,0.6361767301561144
4688,73.67586755752563,0.042282201,27.64,4.1%,49152,1.0272553785238414,-1.0421645208261907,0.45358314071781936,-0.021321028028208962,0.5541765757673826
4851,88.55296611785889,0.0324303899,50.0,4.92%,57344,0.7367438058368861,-0.9758015906903893,0.38596811809111387,-0.01760301488281283,0.4578821971865212
4981,103.82618522644043,0.0242531256,60.86,5.73%,65536,0.49766588364727793,-0.9231009515468032,0.33364261442329735,-0.010659607439420526,0.3823432420440831
5063,119.08324027061462,0.0219218537,100.54,6.55%,73728,0.41083676256239415,-0.8697515866719187,0.2980878827860579,-0.011507706412205013,0.3380207884010768
5131,133.7923493385315,0.0181525574,115.88,7.37%,81920,0.2147580925055081,-0.8199887528084219,0.263402361527551,-0.00731265672107974,0.28414690510599383
5194,148.96814632415771,0.0147971198,116.96,8.19%,90112,0.1743973571487004,-0.7868866707663983,0.24754613052355126,-0.0066782121916804035,0.2643180450192532
5226,164.43087100982666,0.0115768468,205.32,9.01%,98304,0.1755852687783772,-0.7705474617891014,0.225835957453819,-0.008790907001182225,0.2425153936315385
5243,179.61265683174133,0.0094688306,301.88,9.83%,106496,0.11941437522327761,-0.7416940150316804,0.224642469198443,-0.008889075808225332,0.23569499913994824
5256,195.68533635139465,0.0086593608,405.62,10.65%,114688,0.06905008668363735,-0.7024790470022708,0.20434465043363162,-0.005198773526998055,0.21072978174929555
5265,211.1285502910614,0.006671444,504.36,11.47%,122880,0.07033926073963812,-0.6598420819733292,0.19140793475671672,-0.004635144550983001,0.19797834637558223
5274,226.1664056777954,0.006124377,627.72,12.29%,131072,0.05918560315494688,-0.6505064125172794,0.1732760652259458,-0.0022808336510493654,0.1789665421763355
5283,240.58618187904358,0.0058306482,705.9,13.11%,139264,0.05453770983140203,-0.6436700658407062,0.17750469053862616,-0.0005963021061795184,0.18289883131114842
5291,256.0604839324951,0.0050523845,815.72,13.93%,147456,0.054153790122927606,-0.6126830611377955,0.17330434602336026,-0.0010322277132557554,0.17861650226432746
5299,271.1307671070099,0.0047379226,875.22,14.75%,155648,0.044511419159744034,-0.5896560920402407,0.15336262424243613,0.0006069857092366951,0.1578744647293342
5307,286.60604596138,0.0042473287,939.86,15.56%,163840,0.04121823602524728,-0.5786655934061855,0.15401838720426894,7.767424215851735e-05,0.1581479782310095
5315,301.54739570617676,0.0038527506,965.14,16.38%,172032,0.03954365091701675,-0.5682534506544471,0.14524407479329965,0.0011710529021630078,0.14931554517521764
