num_episodes,ep_rew_mean,total timesteps,total_time,value_loss,policy_gradient_loss,entropy_loss,total_loss
1681,41.72821207999999,8192,4.107701778411865,,,,
3262,47.134149259999994,16384,14.991446018218994,3.004149074200541,-0.021828122025056337,-1.374589556455612,2.9823209521754843
4570,53.72032326000001,24576,27.063921451568604,2.335250103380531,-0.02996905269831327,-1.287667255755514,2.3052810506822174
5682,58.175331760000006,32768,38.14247918128967,2.112054933514446,-0.030346797444663287,-1.1747608593665064,2.081708136069783
6626,83.29451058000001,40960,48.609609842300415,1.5619705083779991,-0.032797575227688586,-1.0414439057931304,1.5291729331503103
7452,89.7106206,49152,60.72778820991516,1.3765427615493535,-0.027353715489999007,-0.9177426013629884,1.3491890460593545
8197,90.52521612000001,57344,72.40938448905945,1.2047382307238876,-0.019922782070516492,-0.8078536763321609,1.1848154486533713
8845,113.83866264,65536,83.0058262348175,1.0192985967965797,-0.019835847147598028,-0.7013398296199739,0.9994627496489816
9434,126.86867056,73728,93.90516710281372,1.0217520602513104,-0.016071425396098793,-0.6102718312758952,1.0056806348552116
9968,142.75237538000002,81920,105.80734062194824,1.021871499484405,-0.01567067542522993,-0.524096596846357,1.006200824059175
10433,179.53824214,90112,116.84719061851501,1.0007431602803991,-0.0158247528240634,-0.4442198700504377,0.9849184074563357
10862,184.30371724,98304,127.3972430229187,1.148203873122111,-0.011745569727103616,-0.3700624031713232,1.1364583033950073
11231,203.88260251999998,106496,139.55397057533264,1.0957175777992234,-0.014251668475090953,-0.29879484269768,1.0814659093241326
11576,218.99245009999999,114688,150.81718587875366,1.0552814512513577,-0.01571817429817916,-0.23268306013196707,1.0395632769531786
11856,249.58884343999998,122880,161.2206687927246,1.064092104951851,-0.011671982079585919,-0.16562811005860567,1.0524201228722652
12107,286.21758498,131072,173.2279314994812,1.0152892455691471,-0.004318526762074116,-0.10682518035173416,1.010970718807073
12343,310.85195219999997,139264,184.8754801750183,1.0853740743594245,-0.0076650380223536275,-0.041393900755792856,1.077709036337071
12555,369.63021282,147456,195.31746459007263,0.9651249021990225,-0.008442161892054727,0.028054331429302692,0.9566827403069678
12754,385.60508182000007,155648,206.59524202346802,0.7534405508544296,-0.004577543052868527,0.08621439486742019,0.748863007801561
12925,449.74924656,163840,218.07654452323914,0.76862099111313,-0.007724875981298303,0.11983264442533255,0.7608961151318316
13067,491.53098912,172032,228.76698780059814,0.8510338329244405,-0.005848984879303199,0.16531128576025367,0.8451848480451373
13195,673.14773554,180224,239.67316961288452,0.8307638670550659,-0.004725608604068471,0.205567148886621,0.8260382584509973
13309,646.5860976600001,188416,251.19936513900757,1.0350280080456287,-0.00442245095259228,0.24663902772590518,1.0306055570930366
13400,817.9561445800001,196608,262.1168270111084,0.9685056352755055,-0.006171323592328884,0.2966067152097821,0.9623343116831766
13464,1121.40153494,204800,272.2469267845154,1.1990066011436284,-0.005476243013776065,0.3366846557706594,1.1935303581298524
13499,1848.53050426,212992,284.0485622882843,1.1849607550539076,-0.005055628622930225,0.37415136834606527,1.1799051264309774
13528,2093.0555341,221184,295.8370566368103,1.1270389860495924,-0.0003977772408728206,0.4032010215800256,1.1266412088087197
13539,3197.9754349400005,229376,305.9745547771454,1.1555606424342841,0.001541823658623958,0.44918675608932973,1.157102466092908
13555,4307.050175320001,237568,316.9224979877472,1.0232241438468919,-7.1351104067870956e-06,0.48241478721611203,1.0232170087364851
13573,5050.51693858,245760,327.7744903564453,1.1099723119754343,0.0003191316953737224,0.5337986636906862,1.1102914436708082
13585,5320.8314283400005,253952,338.0034284591675,1.2144231890444643,0.0017298970161456339,0.5792679800651968,1.21615308606061
13595,5394.293469480001,262144,349.34175181388855,0.8671764265163802,0.0035636655550256953,0.6174385289661586,0.8707400920714059
13605,5701.245611459999,270336,361.2652246952057,1.0011702100164257,0.004247586083050006,0.6465259393677115,1.0054177960994757
13615,6465.439317460001,278528,371.47250151634216,0.952117805776652,0.005502723653990167,0.6595309358090162,0.9576205294306422
13625,7479.730868060001,286720,383.94705986976624,1.028256357635837,0.006870633840394091,0.683166254684329,1.0351269914762313
13635,7746.381081180002,294912,396.3577404022217,1.0198640711023472,0.008132775480216948,0.7021124852821231,1.0279968465825642
13645,7799.664364979998,303104,407.6455273628235,1.0481852136319503,0.006426477519937648,0.7168831213377416,1.054611691151888
13653,8085.82867324,311296,418.678542137146,1.0889044554234715,0.006330096423341281,0.724566584546119,1.0952345518468127
13653,8085.82867324,311296,426.7058525085449,0.9883021686284337,0.004958003470124836,0.7150072645395994,0.9932601720985584
