#{"t_start": 1595847098.5125628, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,835,17.852076
2.0,737,33.169605
2.0,837,47.592737
2.0,934,66.749409
1.0,645,79.165901
2.0,943,98.161229
0.0,506,108.604834
1.0,608,120.264187
1.0,698,134.610677
0.0,531,146.616572
4.0,1143,174.075137
1.0,660,188.170347
0.0,534,198.93513
8.0,1144,222.913573
3.0,1078,250.649793
8.0,1191,282.327265
8.0,1336,325.278054
8.0,1219,361.559317
1.0,656,380.329634
2.0,853,401.20056
5.0,1392,447.14099
2.0,904,473.432993
1.0,625,491.291386
5.0,1322,532.944223
2.0,892,556.232494
7.0,1091,587.102868
5.0,1304,626.933692
10.0,1824,680.356565
2.0,755,705.440194
10.0,1746,753.642662
2.0,892,777.999921
4.0,1012,808.781146
1.0,659,828.691281
3.0,930,855.189694
1.0,656,872.682733
7.0,1023,899.617544
7.0,1059,926.382972
0.0,555,941.975991
3.0,895,967.217907
2.0,803,990.812964
3.0,936,1012.967444
