#{"t_start": 1595849462.8789904, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
5.0,1446,20.527113
2.0,902,32.79561
0.0,532,40.511391
1.0,680,51.496574
0.0,521,61.76096
0.0,581,72.592743
3.0,952,92.535571
4.0,1247,120.469437
5.0,1474,150.973646
1.0,628,161.13223
1.0,633,170.987959
1.0,700,182.386931
5.0,1441,207.385423
1.0,653,218.072334
5.0,1450,246.778428
2.0,853,265.015177
4.0,1200,288.03655
1.0,644,300.037519
1.0,699,317.542066
3.0,977,338.1601
1.0,653,349.398236
5.0,1283,374.012374
6.0,1598,404.369481
1.0,664,419.275121
4.0,1214,443.207816
5.0,1267,471.343264
4.0,1138,499.713395
6.0,1676,534.26118
5.0,1434,565.204127
7.0,1926,603.92427
2.0,911,623.108411
10.0,1790,657.706436
4.0,1228,681.660431
6.0,1646,714.095877
2.0,956,733.434133
6.0,1446,762.141035
7.0,1866,799.775244
